工况,参数,样本数,均值,标准差,中位数,IQR,p5,p95,最小值,最大值
空载牵引,采煤机_截割部位_左滚筒_电机_电流,97,1.288659793814433,12.626235787542154,0.0,0.0,0.0,0.0,0.0,125.0
空载牵引,采煤机_截割部位_右滚筒_电机_温度,97,52.2680412371134,8.402890351917055,48.0,11.0,45.0,69.0,43.0,77.0
空载牵引,采煤机_截割部位_左滚筒_电机_温度,97,55.07216494845361,9.42823946644916,50.0,9.0,47.8,73.59999999999997,46.0,86.0
空载牵引,采煤机_牵引部位_右电机_电流,97,91.87628865979381,56.659638124607895,79.0,62.0,0.0,168.99999999999994,0.0,239.0
空载牵引,采煤机_牵引部位_左电机_电流,97,96.9381443298969,57.903548389922676,84.0,66.0,0.0,182.0,0.0,235.0
空载牵引,采煤机_牵引部位_右电机_温度,97,50.824742268041234,8.028313696528238,50.0,10.0,38.0,68.0,38.0,74.0
空载牵引,采煤机_牵引部位_左电机_温度,97,50.55670103092783,7.785751024384885,51.0,9.0,37.0,67.0,37.0,73.0
空载牵引,采煤机_牵引部位_右电机_电压,97,744.1237113402062,332.1586770767248,900.0,60.0,0.0,950.0,0.0,1020.0
空载牵引,采煤机_牵引部位_左电机_电压,97,749.6907216494845,333.8727877014245,910.0,70.0,0.0,950.0,0.0,1030.0
空载牵引,采煤机_牵引部位_位置米数,97,171.18030927835056,87.73169590811895,146.42,89.92,36.18800000000002,325.75,0.0,341.03
空载牵引,采煤机_破碎机_电机_电流,97,0.27835051546391754,2.7272669301091055,0.0,0.0,0.0,0.0,0.0,27.0
空载牵引,采煤机_破碎机_电机_温度,97,239.93814432989691,283.63621300622964,42.0,604.0,33.0,644.0,33.0,645.0
空载牵引,采煤机_油泵_右电机_电流,97,15.75257731958763,9.465107846892186,20.0,8.0,0.0,22.0,0.0,59.0
空载牵引,采煤机_油泵_左电机_电流,97,16.896907216494846,13.233419531494716,19.0,7.0,0.0,30.799999999999557,0.0,63.0
空载牵引,采煤机_油泵_右电机_温度,97,47.44329896907217,6.321243959797572,48.0,9.0,38.0,58.39999999999998,38.0,68.0
空载牵引,采煤机_油泵_左电机_温度,97,48.71134020618557,6.523484558207137,50.0,12.0,41.0,58.19999999999999,39.0,66.0
空载牵引,采煤机_油泵_右油箱_油压,97,2.4144329896907215,2.4238501234126155,2.3,0.5,0.5,2.9199999999999986,0.0,19.0
空载牵引,采煤机_油泵_左油箱_油压,97,3.9072164948453603,5.826357590086878,2.5,0.7000000000000002,0.6,24.819999999999993,0.0,25.7
空载牵引,采煤机_采煤机倾角_俯仰角,97,0.5587628865979382,0.9083521476771033,0.3,0.8,-0.82,2.7,-1.6,3.7
