工况,参数,样本数,均值,标准差,中位数,IQR,p5,p95,最小值,最大值
割煤中位,采煤机_截割部位_右滚筒_电机_温度,9738,66.71482850688027,5.651542634637024,67.0,6.0,56.0,75.0,41.0,87.0
割煤中位,采煤机_截割部位_左滚筒_电机_温度,9738,71.935202300267,6.674780280282344,72.0,8.0,60.0,82.0,42.0,103.0
割煤中位,采煤机_牵引部位_右电机_电流,9738,115.4747381392483,29.776676626106088,111.0,36.0,71.0,164.0,0.0,244.0
割煤中位,采煤机_牵引部位_左电机_电流,9738,115.60423084822345,30.20428954928325,111.0,36.0,71.0,168.0,0.0,239.0
割煤中位,采煤机_牵引部位_右电机_温度,9738,64.22140069829534,6.707229189657643,65.0,8.0,51.0,73.0,35.0,80.0
割煤中位,采煤机_牵引部位_左电机_温度,9738,63.78547956459232,6.668567711164447,65.0,8.0,50.0,72.0,34.0,80.0
割煤中位,采煤机_破碎机_电机_电流,9738,7.068494557403985,13.362396367957913,0.0,19.0,0.0,29.0,0.0,282.0
割煤中位,采煤机_破碎机_电机_温度,9738,125.62764428013966,201.05234332490278,48.0,21.0,35.0,645.0,30.0,645.0
割煤中位,采煤机_油泵_右电机_电流,9738,18.41343191620456,6.19244933314911,17.0,1.0,16.0,22.0,0.0,69.0
割煤中位,采煤机_油泵_左电机_电流,9738,18.316389402341343,6.511756941165103,17.0,0.0,16.0,26.0,0.0,69.0
割煤中位,采煤机_油泵_右电机_温度,9738,50.407167796262065,2.9586140284565414,51.0,3.0,45.0,54.0,35.0,64.0
割煤中位,采煤机_油泵_左电机_温度,9738,52.02865064695009,3.2164186271566457,52.0,4.0,46.0,56.0,35.0,63.0
割煤高位,采煤机_截割部位_右滚筒_电机_电流,7812,98.10611879160267,42.099656577128464,84.0,41.0,62.0,187.0,0.0,697.0
割煤高位,采煤机_截割部位_左滚筒_电机_电流,7812,98.44866871479775,41.465255778588265,84.0,47.0,59.0,187.0,0.0,410.0
割煤高位,采煤机_截割部位_右滚筒_电机_温度,7812,68.39221710189452,5.760253739537434,69.0,7.0,58.0,77.0,44.0,92.0
割煤高位,采煤机_截割部位_左滚筒_电机_温度,7812,72.71236559139786,6.566594203400964,73.0,7.0,61.0,83.0,46.0,104.0
割煤高位,采煤机_牵引部位_右电机_电流,7812,134.49846390168972,29.790398916162207,133.0,40.0,88.0,186.0,0.0,248.0
割煤高位,采煤机_牵引部位_左电机_电流,7812,134.4425243215566,30.29694985784431,133.0,40.0,88.0,186.0,0.0,239.0
割煤高位,采煤机_牵引部位_右电机_温度,7812,66.51715309779826,6.501414843504794,68.0,8.0,54.0,75.0,36.0,83.0
割煤高位,采煤机_牵引部位_左电机_温度,7812,66.07770097286226,6.440696377697182,67.0,7.0,54.0,75.0,36.0,82.0
割煤高位,采煤机_破碎机_电机_电流,7812,8.232590885816693,14.036108354232491,0.0,19.0,0.0,29.0,0.0,306.0
割煤高位,采煤机_破碎机_电机_温度,7812,90.0252176139273,152.6423974163402,48.0,18.0,35.0,644.0,32.0,645.0
割煤高位,采煤机_油泵_右电机_电流,7812,18.885560675883255,7.231042726323286,17.0,1.0,16.0,32.0,0.0,66.0
割煤高位,采煤机_油泵_左电机_电流,7812,18.351766513056834,6.8270581657047575,17.0,1.0,16.0,29.0,0.0,66.0
割煤高位,采煤机_油泵_右电机_温度,7812,50.92831541218638,2.870294221580133,51.0,4.0,46.0,55.0,36.0,62.0
割煤高位,采煤机_油泵_左电机_温度,7812,52.365975422427034,3.0404904564023503,53.0,3.0,46.0,57.0,38.0,60.0
待机-高位,采煤机_截割部位_右滚筒_电机_电流,2962,0.42234976367319377,19.023144512914577,0.0,0.0,0.0,0.0,0.0,1027.0
待机-高位,采煤机_截割部位_左滚筒_电机_电流,2962,1.013504388926401,30.62074129368681,0.0,0.0,0.0,0.0,0.0,1007.0
待机-高位,采煤机_截割部位_右滚筒_电机_温度,2962,59.53308575286968,8.424331693504271,60.0,13.0,47.0,72.0,41.0,87.0
待机-高位,采煤机_截割部位_左滚筒_电机_温度,2962,63.06380823767724,8.614736605389787,63.0,15.0,50.05000000000001,76.0,42.0,89.0
待机-高位,采煤机_牵引部位_右电机_电流,2962,0.4361917623227549,6.346734587172617,0.0,0.0,0.0,0.0,0.0,173.0
待机-高位,采煤机_牵引部位_左电机_电流,2962,0.42538825118163404,6.054055699534755,0.0,0.0,0.0,0.0,0.0,142.0
待机-高位,采煤机_牵引部位_右电机_温度,2962,55.24848075624578,9.701505868956081,54.0,18.0,43.0,71.0,38.0,79.0
待机-高位,采煤机_牵引部位_左电机_温度,2962,54.51282916948008,9.534329962637555,53.0,18.0,43.0,70.0,37.0,79.0
待机-高位,采煤机_破碎机_电机_电流,2962,0.06380823767724511,1.3110114134095638,0.0,0.0,0.0,0.0,0.0,27.0
待机-高位,采煤机_破碎机_电机_温度,2962,61.27312626603646,97.62085783350548,43.0,16.0,33.0,67.0,32.0,645.0
