事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,触发参数行数,归因参数top,归因参数数,归因明细,根因类别,根因主类,部位
1903,2024-05-28 02:23:00,2024-05-28 02:43:00,21.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8721.026,546,32,转载机_链条速度_RMS,8,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_油箱_油位 偏高 实际=277.0 vs 预测=210.4; 残差·转载机_减速器_油箱_油温 偏高 实际=66.9 vs 预测=60.7; 残差·转载机_变频器_IGBT1温度 偏高 实际=46.0 vs 预测=35.8; 残差·转载机_变频器_IGBT2温度 偏高 实际=46.0 vs 预测=36.0; 残差·转载机_变频器_腔体温度 偏高 实际=51.0 vs 预测=40.8; 单变量·转载机_减速器_油箱_油位 z=-2.4 实际=201.0 均值=277.4; 单变量·转载机_减速器_油箱_油位 z=-2.5 实际=195.0 均值=277.4,链条速度恒量(数据质量)/油温油位信号,链条速度恒量(数据质量),转载机ZZJ
792,2024-04-22 19:53:00,2024-04-22 20:02:00,10.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8559.203,260,41,转载机_减速器_油箱_油位,11,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_温度 偏高 实际=41.6 vs 预测=31.0; 残差·转载机_减速器_油箱_油位 偏高 实际=400.0 vs 预测=285.4; 残差·转载机_减速器_油箱_油温 偏高 实际=63.1 vs 预测=50.2; 残差·转载机_变频器_IGBT1温度 偏高 实际=43.0 vs 预测=26.4; 残差·转载机_变频器_IGBT2温度 偏高 实际=43.0 vs 预测=26.6; 残差·转载机_变频器_腔体温度 偏高 实际=48.0 vs 预测=30.4; 残差·转载机_减速器_冷却水_温度 偏高 实际=39.6 vs 预测=33.4,油温油位信号/变频器热信号,油温油位信号,转载机ZZJ
1666,2024-04-13 20:41:00,2024-04-13 20:41:00,1.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8557.693,38,3,截割部位_右滚筒_电机_温度,7,马氏·PC1→牵引部位_左电机_电压_RMS(91%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(9%); 残差·截割部位_右滚筒_电机_温度 偏高 实际=72.0 vs 预测=60.4; 残差·牵引部位_位置米数 偏高 实际=296.5 vs 预测=84.2,进刀位置类/温度类,进刀位置类,牵引部
2046,2024-04-24 00:17:00,2024-04-24 00:32:00,16.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8511.306,544,26,截割部位_右滚筒_电机_温度,10,单变量·截割部位_右滚筒_电机_电流 z=0.6 实际=199.0 均值=107.1; 单变量·截割部位_右滚筒_电机_温度 z=2.4 实际=82.0 均值=66.7; 单变量·截割部位_右滚筒_电机_电流 z=0.8 实际=230.0 均值=107.1; 单变量·截割部位_右滚筒_电机_温度 z=2.6 实际=83.0 均值=66.7; 单变量·截割部位_右滚筒_电机_电流 z=0.6 实际=203.0 均值=107.1; 单变量·截割部位_右滚筒_电机_温度 z=2.9 实际=85.0 均值=66.7; 单变量·截割部位_右滚筒_电机_电流 z=0.4 实际=174.0 均值=107.1; 单变量·截割部位_右滚筒_电机_电流 z=0.4 实际=168.0 均值=107.1,温度类/电流类,温度类,油泵
673,2024-04-20 05:09:00,2024-04-20 05:12:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8388.101,104,25,转载机_变频器_IGBT1温度,8,马氏·PC1→转载机_链条速度_RMS(100%); 单变量·转载机_变频器_IGBT1温度 z=3.2 实际=52.0 均值=33.9; 单变量·转载机_变频器_腔体温度 z=2.9 实际=57.0 均值=38.8; 残差·转载机_减速器_冷却水_温度 偏高 实际=52.8 vs 预测=28.7; 残差·转载机_减速器_油箱_油温 偏高 实际=70.2 vs 预测=41.3; 残差·转载机_变频器_IGBT1温度 偏高 实际=52.0 vs 预测=30.0; 残差·转载机_变频器_IGBT2温度 偏高 实际=51.0 vs 预测=30.0; 残差·转载机_变频器_腔体温度 偏高 实际=57.0 vs 预测=35.0,变频器热信号,变频器热信号,转载机ZZJ
1303,2024-05-08 02:44:00,2024-05-08 02:47:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8377.853,104,12,转载机_链条速度_RMS,8,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_温度 偏高 实际=42.3 vs 预测=36.7; 残差·转载机_减速器_油箱_油温 偏高 实际=67.7 vs 预测=60.9; 残差·转载机_变频器_IGBT1温度 偏高 实际=45.0 vs 预测=25.8; 残差·转载机_变频器_IGBT2温度 偏高 实际=45.0 vs 预测=26.0; 残差·转载机_变频器_腔体温度 偏高 实际=50.0 vs 预测=29.8; 残差·转载机_变频器_IGBT1温度 偏高 实际=41.0 vs 预测=28.2; 残差·转载机_变频器_IGBT2温度 偏高 实际=41.0 vs 预测=28.4,变频器热信号,变频器热信号,转载机ZZJ
622,2024-04-18 09:01:00,2024-04-18 09:11:00,11.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8371.22,286,29,转载机_减速器_冷却水_温度,5,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_温度 偏高 实际=45.2 vs 预测=40.0; 残差·转载机_减速器_油箱_油位 偏高 实际=298.0 vs 预测=238.0; 单变量·转载机_减速器_冷却水_温度 z=4.2 实际=51.4 均值=34.5; 残差·转载机_减速器_冷却水_温度 偏高 实际=51.4 vs 预测=40.6; 单变量·转载机_减速器_冷却水_温度 z=3.7 实际=49.6 均值=34.5; 残差·转载机_减速器_冷却水_温度 偏高 实际=49.6 vs 预测=43.1; 单变量·转载机_减速器_冷却水_温度 z=3.1 实际=47.0 均值=34.5,冷却水温度/链条速度恒量(数据质量),冷却水温度,转载机ZZJ
156,2024-04-04 21:57:00,2024-04-04 22:00:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8360.989,104,13,转载机_减速器_油箱_油温,8,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_温度 偏高 实际=49.4 vs 预测=32.7; 残差·转载机_减速器_油箱_油温 偏高 实际=69.5 vs 预测=56.5; 残差·转载机_变频器_IGBT1温度 偏高 实际=46.0 vs 预测=31.6; 残差·转载机_变频器_IGBT2温度 偏高 实际=45.0 vs 预测=32.6; 残差·转载机_变频器_腔体温度 偏高 实际=51.0 vs 预测=36.6; 残差·转载机_减速器_冷却水_温度 偏高 实际=44.2 vs 预测=35.9; 残差·转载机_减速器_油箱_油温 偏高 实际=68.0 vs 预测=58.9,油温油位信号/变频器热信号,油温油位信号,转载机ZZJ
1962,2024-04-19 06:28:00,2024-04-19 06:34:00,7.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8121.876,266,11,截割部位_右滚筒_电机_电流,10,单变量·截割部位_右滚筒_电机_电流 z=3.0 实际=207.0 均值=91.5; 单变量·截割部位_右滚筒_电机_电流 z=1.9 实际=166.0 均值=91.5; 单变量·截割部位_右滚筒_电机_电流 z=1.7 实际=156.0 均值=91.5; 马氏·PC1→牵引部位_左电机_电压_RMS(93%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(6%); 马氏·PC4→牵引部位_位置米数_RMS(1%); 残差·截割部位_右滚筒_电机_温度 偏高 实际=79.0 vs 预测=68.8; 残差·牵引部位_位置米数 偏高 实际=312.0 vs 预测=71.8,电流类/进刀位置类,电流类,牵引部
831,2024-04-23 19:42:00,2024-04-23 19:51:00,10.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8090.766,260,24,转载机_链条速度_RMS,9,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_温度 偏高 实际=43.2 vs 预测=30.8; 残差·转载机_减速器_油箱_油位 偏高 实际=436.0 vs 预测=277.8; 残差·转载机_减速器_油箱_油温 偏高 实际=64.9 vs 预测=48.3; 残差·转载机_变频器_IGBT1温度 偏高 实际=48.0 vs 预测=5.8; 残差·转载机_变频器_IGBT2温度 偏高 实际=46.0 vs 预测=6.0; 残差·转载机_变频器_腔体温度 偏高 实际=53.0 vs 预测=6.8; 残差·转载机_变频器_腔体温度 偏高 实际=49.0 vs 预测=25.2,链条速度恒量(数据质量)/变频器热信号,链条速度恒量(数据质量),转载机ZZJ
1878,2024-05-27 08:23:00,2024-05-27 08:30:00,8.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8075.455,208,23,转载机_减速器_冷却水_温度,9,马氏·PC1→转载机_链条速度_RMS(100%); 单变量·转载机_减速器_冷却水_温度 z=3.6 实际=49.2 均值=34.5; 残差·转载机_减速器_冷却水_温度 偏高 实际=49.2 vs 预测=39.8; 残差·转载机_减速器_油箱_油位 偏高 实际=407.0 vs 预测=326.4; 残差·转载机_减速器_油箱_油温 偏高 实际=68.4 vs 预测=59.9; 残差·转载机_变频器_IGBT1温度 偏高 实际=49.0 vs 预测=33.0; 残差·转载机_变频器_IGBT2温度 偏高 实际=48.0 vs 预测=33.2; 残差·转载机_变频器_腔体温度 偏高 实际=54.0 vs 预测=38.0,油温油位信号/冷却水温度,油温油位信号,转载机ZZJ
52,2024-04-02 09:24:00,2024-04-02 09:33:00,10.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8066.888,260,30,转载机_链条速度_RMS,11,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_压力 偏高 实际=0.3 vs 预测=0.2; 残差·转载机_减速器_冷却水_温度 偏高 实际=47.0 vs 预测=35.1; 残差·转载机_减速器_油箱_油温 偏高 实际=67.7 vs 预测=60.7; 残差·转载机_变频器_IGBT1温度 偏高 实际=47.0 vs 预测=32.0; 残差·转载机_变频器_IGBT2温度 偏高 实际=46.0 vs 预测=33.0; 残差·转载机_变频器_腔体温度 偏高 实际=52.0 vs 预测=37.0; 残差·转载机_减速器_冷却水_温度 偏高 实际=44.3 vs 预测=37.4,链条速度恒量(数据质量)/变频器热信号,链条速度恒量(数据质量),转载机ZZJ
1959,2024-05-29 02:33:00,2024-05-29 02:51:00,19.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8061.962,494,104,转载机_减速器_油箱_油位,9,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_油箱_油位 偏高 实际=435.0 vs 预测=351.0; 单变量·转载机_减速器_油箱_油位 z=2.4 实际=513.0 均值=296.1; 残差·转载机_减速器_油箱_油位 偏高 实际=513.0 vs 预测=361.0; 单变量·转载机_减速器_油箱_油位 z=2.8 实际=553.0 均值=296.1; 残差·转载机_减速器_油箱_油位 偏高 实际=553.0 vs 预测=386.6; 残差·转载机_变频器_IGBT1温度 偏高 实际=47.0 vs 预测=40.8; 残差·转载机_变频器_IGBT2温度 偏高 实际=47.0 vs 预测=41.0,变频器热信号/油温油位信号,变频器热信号,转载机ZZJ
364,2024-04-10 03:38:00,2024-04-10 03:41:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8052.786,104,19,转载机_减速器_油箱_油温,8,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_温度 偏高 实际=48.2 vs 预测=28.1; 残差·转载机_减速器_油箱_油温 偏高 实际=64.9 vs 预测=36.7; 残差·转载机_变频器_IGBT1温度 偏高 实际=48.0 vs 预测=30.0; 残差·转载机_变频器_IGBT2温度 偏高 实际=48.0 vs 预测=30.0; 残差·转载机_变频器_腔体温度 偏高 实际=53.0 vs 预测=35.0; 残差·转载机_减速器_冷却水_温度 偏高 实际=46.1 vs 预测=32.1; 残差·转载机_减速器_油箱_油温 偏高 实际=63.4 vs 预测=42.3,变频器热信号/油温油位信号,变频器热信号,转载机ZZJ
127,2024-04-04 08:06:00,2024-04-04 08:09:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8052.764,104,15,转载机_减速器_冷却水_温度,8,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_温度 偏高 实际=43.3 vs 预测=33.0; 残差·转载机_减速器_油箱_油温 偏高 实际=67.7 vs 预测=54.4; 残差·转载机_变频器_IGBT1温度 偏高 实际=46.0 vs 预测=31.0; 残差·转载机_变频器_IGBT2温度 偏高 实际=46.0 vs 预测=32.0; 残差·转载机_变频器_腔体温度 偏高 实际=51.0 vs 预测=36.0; 残差·转载机_减速器_冷却水_温度 偏高 实际=41.2 vs 预测=35.0; 残差·转载机_减速器_油箱_油温 偏高 实际=66.7 vs 预测=57.0,冷却水温度/油温油位信号,冷却水温度,转载机ZZJ
195,2024-04-05 16:41:00,2024-04-05 16:49:00,9.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8052.424,234,41,转载机_减速器_油箱_油位,9,马氏·PC1→转载机_链条速度_RMS(100%); 单变量·转载机_减速器_油箱_油位 z=4.4 实际=419.0 均值=277.4; 残差·转载机_减速器_冷却水_压力 偏高 实际=0.2 vs 预测=0.0; 残差·转载机_减速器_冷却水_流量 偏高 实际=53.0 vs 预测=0.0; 残差·转载机_减速器_油箱_油位 偏高 实际=419.0 vs 预测=278.0; 残差·转载机_减速器_油箱_油温 偏高 实际=56.2 vs 预测=43.1; 单变量·转载机_减速器_油箱_油位 z=4.2 实际=413.0 均值=277.4; 残差·转载机_减速器_冷却水_流量 偏高 实际=52.0 vs 预测=10.6,油温油位信号/冷却水压力流量,油温油位信号,转载机ZZJ
277,2024-04-07 17:23:00,2024-04-07 17:26:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8052.174,104,18,转载机_减速器_油箱_油温,10,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_温度 偏高 实际=45.2 vs 预测=30.7; 残差·转载机_减速器_油箱_油温 偏高 实际=63.6 vs 预测=41.2; 残差·转载机_变频器_IGBT1温度 偏高 实际=44.0 vs 预测=31.0; 残差·转载机_变频器_IGBT2温度 偏高 实际=44.0 vs 预测=32.0; 残差·转载机_变频器_腔体温度 偏高 实际=49.0 vs 预测=36.0; 残差·转载机_减速器_冷却水_压力 偏高 实际=0.2 vs 预测=0.1; 残差·转载机_减速器_冷却水_流量 偏高 实际=49.0 vs 预测=22.0,冷却水压力流量/油温油位信号,冷却水压力流量,转载机ZZJ
174,2024-04-05 07:10:00,2024-04-05 07:13:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8048.07,104,8,转载机_链条速度_RMS,4,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_温度 偏高 实际=44.4 vs 预测=37.5; 残差·转载机_减速器_冷却水_温度 偏高 实际=43.5 vs 预测=38.9,链条速度恒量(数据质量)/冷却水温度,链条速度恒量(数据质量),转载机ZZJ
132,2024-04-04 09:07:00,2024-04-04 09:24:00,18.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8046.499,468,26,转载机_减速器_冷却水_压力,5,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_压力 偏高 实际=0.2 vs 预测=0.1; 残差·转载机_减速器_冷却水_流量 偏高 实际=50.0 vs 预测=25.8; 残差·转载机_减速器_冷却水_流量 偏高 实际=51.0 vs 预测=27.2,冷却水压力流量,冷却水压力流量,转载机ZZJ
816,2024-04-23 09:12:00,2024-04-23 09:17:00,6.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8045.719,156,7,转载机_链条速度_RMS,5,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_流量 偏高 实际=42.0 vs 预测=20.0; 残差·转载机_减速器_冷却水_压力 偏高 实际=0.2 vs 预测=0.1; 残差·转载机_减速器_冷却水_流量 偏高 实际=44.0 vs 预测=20.6,冷却水压力流量/链条速度恒量(数据质量),冷却水压力流量,转载机ZZJ
882,2024-04-24 23:50:00,2024-04-24 23:53:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8044.928,104,9,转载机_链条速度_RMS,5,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_温度 偏高 实际=47.5 vs 预测=37.0; 残差·转载机_减速器_油箱_油温 偏高 实际=68.0 vs 预测=62.7; 残差·转载机_减速器_冷却水_温度 偏高 实际=42.9 vs 预测=38.8,链条速度恒量(数据质量)/冷却水温度,链条速度恒量(数据质量),转载机ZZJ
183,2024-04-05 09:14:00,2024-04-05 09:19:00,6.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8044.422,156,16,转载机_减速器_冷却水_压力,8,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_压力 偏高 实际=0.2 vs 预测=0.0; 残差·转载机_减速器_冷却水_流量 偏高 实际=47.0 vs 预测=14.2; 残差·转载机_变频器_IGBT1温度 偏高 实际=44.0 vs 预测=33.8; 残差·转载机_变频器_IGBT2温度 偏高 实际=44.0 vs 预测=34.0; 残差·转载机_变频器_腔体温度 偏高 实际=49.0 vs 预测=38.8; 残差·转载机_减速器_冷却水_流量 偏高 实际=47.0 vs 预测=20.8; 残差·转载机_减速器_冷却水_压力 偏高 实际=0.2 vs 预测=0.1,冷却水压力流量/变频器热信号,冷却水压力流量,转载机ZZJ
1268,2024-05-07 03:48:00,2024-05-07 03:51:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8043.883,104,16,转载机_减速器_冷却水_温度,8,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_温度 偏高 实际=43.5 vs 预测=33.2; 残差·转载机_减速器_油箱_油温 偏高 实际=70.4 vs 预测=58.7; 残差·转载机_变频器_IGBT1温度 偏高 实际=50.0 vs 预测=31.0; 残差·转载机_变频器_IGBT2温度 偏高 实际=50.0 vs 预测=31.8; 残差·转载机_变频器_腔体温度 偏高 实际=55.0 vs 预测=36.0; 残差·转载机_减速器_冷却水_温度 偏高 实际=41.4 vs 预测=35.2; 残差·转载机_减速器_油箱_油温 偏高 实际=69.4 vs 预测=60.9,变频器热信号/冷却水温度,变频器热信号,转载机ZZJ
510,2024-04-15 00:54:00,2024-04-15 00:59:00,6.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8041.045,156,22,转载机_减速器_冷却水_温度,9,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_温度 偏高 实际=45.7 vs 预测=29.7; 残差·转载机_减速器_油箱_油温 偏高 实际=67.7 vs 预测=48.4; 残差·转载机_变频器_IGBT1温度 偏高 实际=47.0 vs 预测=30.0; 残差·转载机_变频器_IGBT2温度 偏高 实际=47.0 vs 预测=31.0; 残差·转载机_变频器_腔体温度 偏高 实际=52.0 vs 预测=35.0; 残差·转载机_减速器_冷却水_温度 偏高 实际=44.1 vs 预测=32.9; 残差·转载机_减速器_油箱_油温 偏高 实际=66.6 vs 预测=52.2,冷却水温度/油温油位信号,冷却水温度,转载机ZZJ
91,2024-04-03 09:55:00,2024-04-03 10:00:00,6.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8041.024,156,13,转载机_减速器_冷却水_温度,4,马氏·PC1→转载机_链条速度_RMS(100%); 单变量·转载机_减速器_冷却水_温度 z=4.5 实际=52.9 均值=34.5; 残差·转载机_减速器_冷却水_温度 偏高 实际=52.9 vs 预测=45.0; 单变量·转载机_减速器_冷却水_温度 z=3.6 实际=49.2 均值=34.5; 单变量·转载机_减速器_冷却水_温度 z=3.1 实际=46.9 均值=34.5; 单变量·转载机_减速器_冷却水_温度 z=2.9 实际=46.4 均值=34.5; 单变量·转载机_减速器_冷却水_温度 z=2.7 实际=45.4 均值=34.5,冷却水温度,冷却水温度,转载机ZZJ
1129,2024-05-02 10:18:00,2024-05-02 10:23:00,6.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8040.207,156,11,转载机_链条速度_RMS,4,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_流量 偏高 实际=56.0 vs 预测=31.4; 残差·转载机_减速器_冷却水_流量 偏高 实际=56.0 vs 预测=31.8,链条速度恒量(数据质量)/冷却水压力流量,链条速度恒量(数据质量),转载机ZZJ
602,2024-04-17 17:30:00,2024-04-17 17:39:00,10.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8039.87,260,30,转载机_减速器_油箱_油位,7,马氏·PC1→转载机_链条速度_RMS(100%); 单变量·转载机_减速器_油箱_油位 z=4.0 实际=406.0 均值=277.4; 残差·转载机_减速器_冷却水_压力 偏高 实际=0.2 vs 预测=0.0; 残差·转载机_减速器_冷却水_流量 偏高 实际=54.0 vs 预测=0.0; 残差·转载机_减速器_油箱_油位 偏高 实际=406.0 vs 预测=276.6; 残差·转载机_减速器_油箱_油温 偏高 实际=51.9 vs 预测=39.1; 单变量·转载机_减速器_油箱_油位 z=3.5 实际=390.0 均值=277.4; 残差·转载机_减速器_冷却水_流量 偏高 实际=54.0 vs 预测=10.8,油温油位信号/冷却水压力流量,油温油位信号,转载机ZZJ
1994,2024-05-30 18:33:00,2024-05-30 18:36:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8039.523,104,13,转载机_减速器_油箱_油温,8,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_压力 偏高 实际=0.2 vs 预测=0.0; 残差·转载机_减速器_冷却水_流量 偏高 实际=50.0 vs 预测=8.2; 残差·转载机_减速器_冷却水_温度 偏高 实际=37.7 vs 预测=32.8; 残差·转载机_减速器_油箱_油位 偏高 实际=375.0 vs 预测=276.0; 残差·转载机_减速器_油箱_油温 偏高 实际=59.6 vs 预测=49.7; 残差·转载机_减速器_冷却水_压力 偏高 实际=0.2 vs 预测=0.1; 残差·转载机_减速器_冷却水_流量 偏高 实际=51.0 vs 预测=18.2,冷却水压力流量/油温油位信号,冷却水压力流量,转载机ZZJ
1022,2024-04-29 10:03:00,2024-04-29 10:14:00,12.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8038.687,312,23,转载机_减速器_冷却水_压力,9,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_温度 偏高 实际=44.9 vs 预测=38.3; 残差·转载机_变频器_IGBT1温度 偏高 实际=43.0 vs 预测=30.8; 残差·转载机_变频器_IGBT2温度 偏高 实际=43.0 vs 预测=30.8; 残差·转载机_变频器_腔体温度 偏高 实际=48.0 vs 预测=34.8; 残差·转载机_减速器_冷却水_压力 偏高 实际=0.2 vs 预测=0.1; 残差·转载机_减速器_冷却水_流量 偏高 实际=51.0 vs 预测=29.2,冷却水压力流量/变频器热信号,冷却水压力流量,转载机ZZJ
1447,2024-05-12 03:36:00,2024-05-12 03:39:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8038.206,104,15,转载机_减速器_冷却水_温度,8,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_温度 偏高 实际=47.4 vs 预测=34.7; 残差·转载机_减速器_油箱_油温 偏高 实际=66.3 vs 预测=59.7; 残差·转载机_变频器_IGBT1温度 偏高 实际=46.0 vs 预测=33.0; 残差·转载机_变频器_IGBT2温度 偏高 实际=46.0 vs 预测=33.4; 残差·转载机_变频器_腔体温度 偏高 实际=51.0 vs 预测=38.0; 残差·转载机_减速器_冷却水_温度 偏高 实际=44.8 vs 预测=37.1; 残差·转载机_减速器_冷却水_温度 偏高 实际=43.3 vs 预测=39.2,冷却水温度/变频器热信号,冷却水温度,转载机ZZJ
1439,2024-05-11 23:22:00,2024-05-11 23:31:00,10.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8036.003,260,29,转载机_链条速度_RMS,8,残差·转载机_电机_电流 偏高 实际=123.0 vs 预测=80.4; 残差·转载机_电机_转矩 偏高 实际=50.0 vs 预测=27.6; 残差·转载机_变频器_IGBT1温度 偏高 实际=51.0 vs 预测=43.4; 残差·转载机_变频器_IGBT2温度 偏高 实际=51.0 vs 预测=43.8; 残差·转载机_变频器_腔体温度 偏高 实际=56.0 vs 预测=48.4; 残差·转载机_电机_电流 偏高 实际=231.0 vs 预测=91.8; 残差·转载机_电机_转矩 偏高 实际=97.0 vs 预测=34.0; 马氏·PC1→转载机_链条速度_RMS(100%),负载信号/变频器热信号,负载信号,转载机ZZJ
1595,2024-05-17 06:52:00,2024-05-17 06:55:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8035.819,104,16,转载机_减速器_油箱_油温,8,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_温度 偏高 实际=40.2 vs 预测=30.6; 残差·转载机_减速器_油箱_油温 偏高 实际=62.6 vs 预测=45.8; 残差·转载机_变频器_IGBT1温度 偏高 实际=45.0 vs 预测=31.0; 残差·转载机_变频器_IGBT2温度 偏高 实际=45.0 vs 预测=32.0; 残差·转载机_变频器_腔体温度 偏高 实际=50.0 vs 预测=36.0; 残差·转载机_减速器_冷却水_温度 偏高 实际=39.2 vs 预测=32.5; 残差·转载机_减速器_油箱_油温 偏高 实际=61.6 vs 预测=49.1,油温油位信号/冷却水温度,油温油位信号,转载机ZZJ
96,2024-04-03 10:26:00,2024-04-03 10:30:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8035.596,130,11,转载机_链条速度_RMS,7,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_温度 偏高 实际=43.5 vs 预测=38.9; 残差·转载机_减速器_油箱_油温 偏高 实际=67.0 vs 预测=61.6; 残差·转载机_变频器_IGBT1温度 偏高 实际=43.0 vs 预测=33.0; 残差·转载机_减速器_冷却水_压力 偏高 实际=0.2 vs 预测=0.1,链条速度恒量(数据质量)/冷却水压力流量,链条速度恒量(数据质量),转载机ZZJ
398,2024-04-11 02:18:00,2024-04-11 02:21:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8034.04,104,15,转载机_减速器_冷却水_温度,9,马氏·PC1→转载机_链条速度_RMS(100%); 单变量·转载机_减速器_冷却水_温度 z=3.7 实际=49.5 均值=34.5; 残差·转载机_减速器_冷却水_温度 偏高 实际=49.5 vs 预测=38.4; 残差·转载机_减速器_油箱_油温 偏高 实际=70.8 vs 预测=57.9; 残差·转载机_变频器_IGBT1温度 偏高 实际=48.0 vs 预测=37.2; 残差·转载机_变频器_IGBT2温度 偏高 实际=47.0 vs 预测=37.4; 残差·转载机_变频器_腔体温度 偏高 实际=53.0 vs 预测=42.2; 单变量·转载机_减速器_冷却水_温度 z=3.1 实际=47.1 均值=34.5,冷却水温度/变频器热信号,冷却水温度,转载机ZZJ
267,2024-04-07 02:56:00,2024-04-07 09:19:00,384.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8031.091,9984,611,转载机_减速器_冷却水_温度,9,单变量·转载机_减速器_冷却水_温度 z=2.4 实际=53.6 均值=42.3; 单变量·转载机_减速器_冷却水_温度 z=2.5 实际=54.1 均值=42.3; 单变量·转载机_减速器_冷却水_温度 z=2.6 实际=54.6 均值=42.3; 单变量·转载机_减速器_冷却水_温度 z=2.7 实际=55.1 均值=42.3; 单变量·转载机_减速器_冷却水_温度 z=2.8 实际=55.6 均值=42.3; 单变量·转载机_减速器_冷却水_温度 z=2.9 实际=56.1 均值=42.3; 单变量·转载机_减速器_冷却水_温度 z=3.0 实际=56.6 均值=42.3; 单变量·转载机_减速器_冷却水_温度 z=3.1 实际=57.1 均值=42.3,冷却水温度,冷却水温度,转载机ZZJ
