,PC1,PC2,PC3,PC4
采煤机_截割部位_右滚筒_电机_电流_斜率,-0.00017472987581028442,-6.0927527697681235e-05,0.002924542642546982,-0.0026142105108277014
采煤机_截割部位_左滚筒_电机_温度_斜率,0.00020448293663536722,-3.7182528876612166e-05,-0.000133629030594326,0.00035455600055455994
采煤机_截割部位_左滚筒_电机_电流_斜率,-0.00012216283160111047,-0.00025612170846107057,0.0017296837168934748,0.003014198938978597
采煤机_油泵_右电机_温度_斜率,0.00017371916939069046,-9.538738623848544e-06,-0.00011021259327185784,-4.980257442782247e-05
采煤机_油泵_右电机_电流_斜率,-4.236605962799738e-05,-2.9226324341499887e-05,0.0005202205491971326,-1.89829215446115e-05
采煤机_油泵_左电机_温度_斜率,0.00016348937414722607,-5.057787817299668e-06,-8.78907808893059e-05,-0.00012458172852233932
采煤机_油泵_左电机_电流_斜率,-4.2755838041869705e-05,-2.9684588031198145e-05,0.0006162516461232283,-0.0002125024022431825
采煤机_牵引部位_位置米数_斜率,0.00027320939898205075,0.00017704254591432766,0.002506664629718518,0.00045367778218755625
采煤机_牵引部位_右电机_温度_斜率,0.00025742315230598364,-2.5881227448632277e-05,-5.7029430751300804e-05,-5.9223888675892625e-05
采煤机_牵引部位_右电机_电压_斜率,0.002188920047532994,-0.0016147317864398797,0.021570466789985688,-0.007700590305156018
采煤机_牵引部位_右电机_电流_斜率,-3.739700465383471e-05,-0.0002268406256431977,0.0022068213748326804,0.0006833544808573095
采煤机_牵引部位_左电机_温度_斜率,0.0002680270102761878,-3.009628293171563e-05,-6.470569402190703e-05,-5.082322158478453e-06
采煤机_牵引部位_左电机_电压_斜率,0.0023389662028307037,-0.0017317685301664607,0.021128089194015116,-0.007818315160843869
采煤机_牵引部位_左电机_电流_斜率,-3.669229112210496e-05,-0.0002283884965700654,0.0022245283699483683,0.0007312361589828855
采煤机_牵引部位_采煤机速度_斜率,-5.839728049804358e-06,-5.49425724830862e-06,8.092005186481208e-05,-2.442804965691632e-05
采煤机_破碎机_电机_温度_斜率,0.00023635620513020198,8.758203727384866e-06,-0.00011814563132802342,-0.0006488777866672706
采煤机_破碎机_电机_电流_斜率,7.1825240672999865e-06,-5.917634698967737e-05,0.00015014074664498105,-0.0005710843055033199
右滚筒_电机_左右电流,0.00021222120499001312,6.920121123800676e-05,-0.00033092028061793715,-0.00021258940420913712
右滚筒_电机_电流温度,1.0552948463993767e-05,2.8438047906950492e-05,-0.0002199141385248392,-8.689555346784386e-05
左滚筒_电机_电流温度,-1.0961750004844814e-06,-1.1608004895023453e-05,3.672144443418934e-05,-0.000237962265889202
牵引部位_右电机_左右电流,0.0006440278434104628,1.8176591753993432e-05,-0.000779485698844439,-0.0001312933205789028
牵引部位_右电机_电流温度,-9.859914214411551e-05,-2.64526724188142e-05,0.0001198289045354808,-5.5694512620275376e-05
右电机_电流速度,0.0003722178426628687,8.04046506321626e-06,-0.00048494087845124106,2.603542119410091e-05
牵引部位_左电机_电流温度,-9.915566960571099e-05,-1.592298203182259e-05,0.0001125438697490241,-2.5314153559182062e-05
左电机_电流速度,0.0003700463555867142,2.0165425894277304e-05,-0.0004829910636523085,2.4246347835037924e-05
破碎机_电机_电流温度,6.507477498618493e-06,-2.206120447627606e-05,2.2852294888984512e-06,6.92269356155042e-06
油泵_右电机_左右电流,0.00013696803465770117,5.6460144313215124e-05,-0.00025014029188598537,-0.0001309678825590186
油泵_右电机_电流温度,-2.4834771195691596e-05,5.969495611183796e-06,7.279658878475909e-05,2.267542327393088e-05
油泵_左电机_电流温度,-2.323907874773095e-05,-1.917037760332725e-06,4.76748688581009e-05,-1.4476326409824464e-05
油压电流,0.0003045823689975829,-2.496370183319846e-05,-0.000478194254763849,4.043677496759921e-06
