事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
47,2024-04-01 16:05:00,2024-04-01 16:05:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.105,30,残差异常：采煤机_牵引部位_右电机_电流 偏高（残差 Z-score=3.1，实际=155.0 vs 预测=21.2）
48,2024-04-01 16:17:00,2024-04-01 16:17:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.546,30,正常
49,2024-04-01 16:20:00,2024-04-01 16:21:00,2.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.966,60,正常
50,2024-04-01 16:30:00,2024-04-01 16:30:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.842,30,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=3.8，实际=49.0 vs 预测=17.0）
51,2024-04-01 16:32:00,2024-04-01 16:32:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2.627,30,正常
52,2024-04-01 16:40:00,2024-04-01 16:40:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.602,30,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=3.6，实际=47.0 vs 预测=17.0）
53,2024-04-01 16:44:00,2024-04-01 16:44:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,7.404,30,正常
54,2024-04-01 16:58:00,2024-04-01 16:58:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.476,30,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=5.5，实际=56.0 vs 预测=10.4）
55,2024-04-01 17:10:00,2024-04-01 17:12:00,3.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.204,90,正常
56,2024-04-01 17:14:00,2024-04-01 17:14:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8.05,30,正常
57,2024-04-01 17:30:00,2024-04-01 17:30:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.734,30,正常
