事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
2605,2024-04-25 09:11:00,2024-04-25 09:14:00,4.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4083.965,120,Mahalanobis 距离=4084.0（阈值=18.5）。主要贡献特征：PC2 (71.3%); PC3 (28.3%)。
2606,2024-04-25 09:21:00,2024-04-25 09:41:00,21.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4219.943,630,Mahalanobis 距离=4219.9（阈值=18.5）。主要贡献特征：PC2 (71.7%); PC3 (28.3%)。
2607,2024-04-25 09:46:00,2024-04-25 09:46:00,1.0,调架中,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,7.322,30,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=7.3，实际=54.0 vs 预测=14.0）
2608,2024-04-25 09:48:00,2024-04-25 09:51:00,4.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1573.498,120,Mahalanobis 距离=1573.5（阈值=18.5）。主要贡献特征：PC2 (57.1%); PC3 (42.8%)。
2609,2024-04-25 09:54:00,2024-04-25 09:54:00,1.0,调架中,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2.201,30,正常
2610,2024-04-25 10:01:00,2024-04-25 10:01:00,1.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.094,30,正常
2611,2024-04-25 10:04:00,2024-04-25 10:05:00,2.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.782,60,正常
2612,2024-04-25 10:08:00,2024-04-25 10:10:00,3.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2.869,90,单变量异常：采煤机_油泵_左电机_电流（z-score=2.9，实际=37.0，均值=18.3±6.5）
2613,2024-04-25 10:12:00,2024-04-25 10:16:00,5.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1934.238,150,Mahalanobis 距离=1934.2（阈值=18.5）。主要贡献特征：PC2 (68.2%); PC3 (31.5%)。
2614,2024-04-25 10:19:00,2024-04-25 10:20:00,2.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,18.888,60,Mahalanobis 距离=18.9（阈值=18.5）。主要贡献特征：PC2 (59.8%); PC3 (36.3%); PC1 (2.6%)。
2615,2024-04-25 13:25:00,2024-04-25 13:26:00,2.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.279,60,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=4.3，实际=21.0 vs 预测=0.0）
2616,2024-04-25 13:30:00,2024-04-25 13:35:00,6.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,28.147,180,Mahalanobis 距离=28.1（阈值=18.5）。主要贡献特征：PC3 (49.3%); PC2 (47.6%); PC4 (2.4%)。
2617,2024-04-25 13:47:00,2024-04-25 13:47:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.295,30,正常
2618,2024-04-25 13:49:00,2024-04-25 13:50:00,2.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,25.24,60,Mahalanobis 距离=25.2（阈值=18.5）。主要贡献特征：PC3 (49.4%); PC2 (46.9%); PC4 (3.1%)。
