事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
2269,2024-04-26 03:23:00,2024-04-26 03:26:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1632.895,136,Mahalanobis 距离=1632.9（阈值=18.5）。主要贡献特征：PC2 (65.1%); PC3 (34.6%)。
2270,2024-04-26 03:30:00,2024-04-26 03:32:00,3.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.666,102,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=4.7，实际=48.0 vs 预测=17.8）
2271,2024-04-26 03:34:00,2024-04-26 03:34:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2711.373,34,Mahalanobis 距离=2711.4（阈值=18.5）。主要贡献特征：PC2 (75.4%); PC3 (23.5%); PC4 (1.1%)。
2272,2024-04-26 03:37:00,2024-04-26 03:39:00,3.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.871,102,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=5.9，实际=56.0 vs 预测=18.0）
2273,2024-04-26 03:49:00,2024-04-26 03:49:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.09,34,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=3.1，实际=37.0 vs 预测=17.0）
2274,2024-04-26 03:58:00,2024-04-26 04:02:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2373.906,170,Mahalanobis 距离=2373.9（阈值=18.5）。主要贡献特征：PC2 (71.9%); PC3 (27.8%)。
2275,2024-04-26 04:06:00,2024-04-26 04:06:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2842.538,34,Mahalanobis 距离=2842.5（阈值=18.5）。主要贡献特征：PC2 (75.9%); PC3 (23.7%)。
2276,2024-04-26 04:23:00,2024-04-26 04:23:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.16,34,残差异常：采煤机_截割部位_左滚筒_电机_电流 偏高（残差 Z-score=3.2，实际=262.0 vs 预测=74.8）
2277,2024-04-26 04:29:00,2024-04-26 04:29:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.695,34,正常
2278,2024-04-26 04:34:00,2024-04-26 04:34:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.4,34,正常
2279,2024-04-26 04:49:00,2024-04-26 04:49:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.597,34,正常
2280,2024-04-26 04:53:00,2024-04-26 04:53:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,7.029,34,正常
2281,2024-04-26 04:56:00,2024-04-26 04:59:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2175.401,136,Mahalanobis 距离=2175.4（阈值=18.5）。主要贡献特征：PC2 (68.4%); PC3 (31.0%)。
2282,2024-04-26 05:25:00,2024-04-26 05:28:00,4.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.5,136,正常
2283,2024-04-26 05:33:00,2024-04-26 05:33:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.79,34,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=4.8，实际=48.0 vs 预测=17.0）
2284,2024-04-26 05:45:00,2024-04-26 05:45:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2635.469,34,Mahalanobis 距离=2635.5（阈值=18.5）。主要贡献特征：PC2 (70.8%); PC3 (28.9%)。
2285,2024-04-26 05:53:00,2024-04-26 05:53:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,18.46,34,残差异常：采煤机_破碎机_电机_电流 偏高（残差 Z-score=18.5，实际=206.0 vs 预测=0.0）
2286,2024-04-26 05:57:00,2024-04-26 05:58:00,2.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1.44,68,正常
2287,2024-04-26 06:13:00,2024-04-26 06:13:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.79,34,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=4.8，实际=48.0 vs 预测=17.0）
2288,2024-04-26 06:20:00,2024-04-26 06:20:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2025.915,34,Mahalanobis 距离=2025.9（阈值=18.5）。主要贡献特征：PC2 (73.1%); PC3 (26.3%)。
2289,2024-04-26 06:23:00,2024-04-26 06:23:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,12.172,34,残差异常：采煤机_截割部位_左滚筒_电机_电流 偏高（残差 Z-score=12.2，实际=781.0 vs 预测=60.0）
2290,2024-04-26 06:29:00,2024-04-26 06:29:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.852,34,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=4.9，实际=49.0 vs 预测=17.6）
2291,2024-04-26 06:31:00,2024-04-26 06:33:00,3.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.479,102,正常
2292,2024-04-26 06:36:00,2024-04-26 06:36:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.026,34,正常
2293,2024-04-26 06:44:00,2024-04-26 06:44:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.887,34,正常
2294,2024-04-26 06:47:00,2024-04-26 06:47:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.529,34,正常
2295,2024-04-26 07:00:00,2024-04-26 07:02:00,3.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1221.848,102,Mahalanobis 距离=1221.8（阈值=18.5）。主要贡献特征：PC2 (69.4%); PC3 (29.6%); PC4 (1.0%)。
2296,2024-04-26 07:06:00,2024-04-26 08:35:00,90.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1.781,3060,正常
2297,2024-04-26 08:43:00,2024-04-26 08:44:00,2.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.479,68,正常
