事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
2065,2024-04-20 02:49:00,2024-04-20 02:49:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.309,38,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=4.3，实际=46.0 vs 预测=17.4）
2066,2024-04-20 02:54:00,2024-04-20 02:56:00,3.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.631,114,正常
2067,2024-04-20 03:02:00,2024-04-20 03:03:00,2.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.595,76,残差异常：采煤机_截割部位_右滚筒_电机_电流 偏高（残差 Z-score=6.6，实际=336.0 vs 预测=92.0）
2068,2024-04-20 03:12:00,2024-04-20 03:13:00,2.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4687.98,76,Mahalanobis 距离=4688.0（阈值=18.5）。主要贡献特征：PC1 (76.8%); PC3 (21.1%); PC4 (2.1%)。
2069,2024-04-20 03:16:00,2024-04-20 03:16:00,1.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3952.714,38,Mahalanobis 距离=3952.7（阈值=18.5）。主要贡献特征：PC1 (62.9%); PC3 (35.1%); PC4 (2.0%)。
2070,2024-04-20 03:18:00,2024-04-20 03:19:00,2.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4285.989,76,Mahalanobis 距离=4286.0（阈值=18.5）。主要贡献特征：PC1 (68.7%); PC3 (29.5%); PC4 (1.7%)。
2071,2024-04-20 03:25:00,2024-04-20 03:25:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.549,38,正常
2072,2024-04-20 03:40:00,2024-04-20 03:40:00,1.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3644.165,38,Mahalanobis 距离=3644.2（阈值=18.5）。主要贡献特征：PC1 (61.0%); PC3 (38.3%)。
2073,2024-04-20 03:43:00,2024-04-20 03:45:00,3.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1026.887,114,Mahalanobis 距离=1026.9（阈值=18.5）。主要贡献特征：PC1 (64.8%); PC3 (33.6%); PC4 (1.6%)。
2074,2024-04-20 03:47:00,2024-04-20 03:56:00,10.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3770.092,380,Mahalanobis 距离=3770.1（阈值=18.5）。主要贡献特征：PC1 (70.0%); PC3 (30.0%)。
2075,2024-04-20 03:58:00,2024-04-20 03:58:00,1.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3557.658,38,Mahalanobis 距离=3557.7（阈值=18.5）。主要贡献特征：PC1 (88.1%); PC3 (11.6%)。
2076,2024-04-20 04:13:00,2024-04-20 04:20:00,8.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3672.309,304,Mahalanobis 距离=3672.3（阈值=18.5）。主要贡献特征：PC1 (83.0%); PC3 (9.7%); PC4 (7.2%)。
2077,2024-04-20 04:22:00,2024-04-20 04:27:00,6.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.144,228,正常
2078,2024-04-20 04:32:00,2024-04-20 04:32:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1532.71,38,Mahalanobis 距离=1532.7（阈值=18.5）。主要贡献特征：PC1 (93.3%); PC3 (4.3%); PC4 (2.4%)。
2079,2024-04-20 04:36:00,2024-04-20 04:40:00,5.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3849.623,190,Mahalanobis 距离=3849.6（阈值=18.5）。主要贡献特征：PC1 (85.2%); PC4 (10.6%); PC3 (4.2%)。
2080,2024-04-20 04:56:00,2024-04-20 04:58:00,3.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4768.228,114,Mahalanobis 距离=4768.2（阈值=18.5）。主要贡献特征：PC1 (92.3%); PC4 (7.6%)。
2081,2024-04-20 05:07:00,2024-04-20 05:07:00,1.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4338.262,38,Mahalanobis 距离=4338.3（阈值=18.5）。主要贡献特征：PC1 (91.7%); PC4 (5.6%); PC3 (2.7%)。
2082,2024-04-20 05:09:00,2024-04-20 05:15:00,7.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1315.679,266,Mahalanobis 距离=1315.7（阈值=18.5）。主要贡献特征：PC1 (88.3%); PC3 (11.0%)。
2083,2024-04-20 05:22:00,2024-04-20 05:26:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1187.85,190,Mahalanobis 距离=1187.9（阈值=18.5）。主要贡献特征：PC1 (96.2%); PC4 (2.4%); PC3 (1.4%)。
2084,2024-04-20 05:38:00,2024-04-20 05:38:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2405.553,38,Mahalanobis 距离=2405.6（阈值=18.5）。主要贡献特征：PC1 (99.8%)。
2085,2024-04-20 05:42:00,2024-04-20 05:42:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.75,38,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=6.7，实际=62.0 vs 预测=17.2）
2086,2024-04-20 05:46:00,2024-04-20 05:49:00,4.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.452,152,正常
2087,2024-04-20 05:54:00,2024-04-20 05:57:00,4.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.759,152,正常
2088,2024-04-20 06:02:00,2024-04-20 06:02:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.49,38,正常
2089,2024-04-20 06:21:00,2024-04-20 06:21:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.359,38,正常
2090,2024-04-20 06:27:00,2024-04-20 06:28:00,2.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3802.999,76,Mahalanobis 距离=3803.0（阈值=18.5）。主要贡献特征：PC1 (66.6%); PC3 (33.1%)。
2091,2024-04-20 06:30:00,2024-04-20 06:30:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.273,38,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=5.3，实际=52.0 vs 预测=17.0）
2092,2024-04-20 06:33:00,2024-04-20 06:34:00,2.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,955.315,76,Mahalanobis 距离=955.3（阈值=18.5）。主要贡献特征：PC1 (67.3%); PC3 (32.0%)。
2093,2024-04-20 06:37:00,2024-04-20 06:37:00,1.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3234.269,38,Mahalanobis 距离=3234.3（阈值=18.5）。主要贡献特征：PC1 (64.4%); PC3 (35.5%)。
2094,2024-04-20 06:48:00,2024-04-20 06:49:00,2.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3810.232,76,Mahalanobis 距离=3810.2（阈值=18.5）。主要贡献特征：PC1 (81.7%); PC3 (16.2%); PC4 (2.1%)。
2095,2024-04-20 07:07:00,2024-04-20 07:07:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.177,38,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=6.2，实际=58.0 vs 预测=17.0）
2096,2024-04-20 07:09:00,2024-04-20 07:09:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1.646,38,正常
2097,2024-04-20 07:12:00,2024-04-20 07:12:00,1.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4517.113,38,Mahalanobis 距离=4517.1（阈值=18.5）。主要贡献特征：PC1 (86.8%); PC4 (13.1%)。
2098,2024-04-20 07:14:00,2024-04-20 07:14:00,1.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4114.023,38,Mahalanobis 距离=4114.0（阈值=18.5）。主要贡献特征：PC1 (86.7%); PC4 (12.4%)。
