段起始时间,段结束时间,持续时间(min),工况,是否异常,异常原因,段索引,分段号
2024-04-01 19:54:00,2024-04-01 19:54:00,1,割煤中位,False,正常,221,3
2024-04-01 19:55:00,2024-04-01 20:02:00,8,调架中,False,正常,222,3
2024-04-01 20:03:00,2024-04-01 20:07:00,5,待机,False,正常,223,3
2024-04-01 20:08:00,2024-04-01 20:08:00,1,割煤高位,False,正常,224,3
2024-04-01 20:09:00,2024-04-01 20:09:00,1,调架中,False,正常,225,3
2024-04-01 20:10:00,2024-04-01 20:21:00,12,待机,False,正常,226,3
2024-04-01 20:22:00,2024-04-01 20:22:00,1,割煤高位,False,正常,227,3
2024-04-01 20:23:00,2024-04-01 20:23:00,1,割煤中位,False,正常,228,3
2024-04-01 20:24:00,2024-04-01 20:24:00,1,割煤高位,False,正常,229,3
2024-04-01 20:25:00,2024-04-01 20:25:00,1,割煤中位,False,正常,230,3
2024-04-01 20:26:00,2024-04-01 20:27:00,2,割煤高位,False,正常,231,3
2024-04-01 20:28:00,2024-04-01 20:28:00,1,调架中,False,正常,232,3
2024-04-01 20:29:00,2024-04-01 20:31:00,3,割煤高位,False,正常,233,3
2024-04-01 20:32:00,2024-04-01 20:33:00,2,调架中,False,正常,234,3
2024-04-01 20:34:00,2024-04-01 20:34:00,1,割煤中位,False,正常,235,3
2024-04-01 20:35:00,2024-04-01 20:35:00,1,割煤高位,False,正常,236,3
2024-04-01 20:36:00,2024-04-01 20:36:00,1,调架中,False,正常,237,3
2024-04-01 20:37:00,2024-04-01 20:39:00,3,割煤高位,False,正常,238,3
2024-04-01 20:40:00,2024-04-01 20:40:00,1,调架中,False,正常,239,3
2024-04-01 20:41:00,2024-04-01 20:42:00,2,割煤高位,False,正常,240,3
2024-04-01 20:43:00,2024-04-01 20:44:00,2,调架中,False,正常,241,3
2024-04-01 20:45:00,2024-04-01 20:47:00,3,割煤高位,False,正常,242,3
2024-04-01 20:48:00,2024-04-01 20:49:00,2,调架中,False,正常,243,3
2024-04-01 20:50:00,2024-04-01 20:50:00,1,割煤高位,False,正常,244,3
2024-04-01 20:51:00,2024-04-01 20:52:00,2,待机-高位,False,正常,245,3
2024-04-01 20:53:00,2024-04-01 20:54:00,2,割煤高位,False,正常,246,3
2024-04-01 20:55:00,2024-04-01 20:55:00,1,调架中,False,正常,247,3
2024-04-01 20:56:00,2024-04-01 20:56:00,1,割煤高位,False,正常,248,3
2024-04-01 20:57:00,2024-04-01 20:57:00,1,调架中,False,正常,249,3
2024-04-01 20:58:00,2024-04-01 20:58:00,1,割煤高位,False,正常,250,3
2024-04-01 20:59:00,2024-04-01 21:02:00,4,割煤中位,False,正常,251,3
2024-04-01 21:03:00,2024-04-01 21:07:00,5,割煤高位,False,正常,252,3
2024-04-01 21:08:00,2024-04-01 21:08:00,1,调架中,False,正常,253,3
2024-04-01 21:09:00,2024-04-01 21:09:00,1,割煤高位,False,正常,254,3
2024-04-01 21:10:00,2024-04-01 21:11:00,2,割煤中位,False,正常,255,3
2024-04-01 21:12:00,2024-04-01 21:17:00,6,割煤高位,False,正常,256,3
2024-04-01 21:18:00,2024-04-01 21:20:00,3,调架中,False,正常,257,3
2024-04-01 21:21:00,2024-04-01 21:25:00,5,待机-高位,False,正常,258,3
2024-04-01 21:26:00,2024-04-01 21:27:00,2,割煤高位,False,正常,259,3
2024-04-01 21:28:00,2024-04-01 21:28:00,1,调架中,False,正常,260,3
2024-04-01 21:29:00,2024-04-01 21:29:00,1,割煤中位,False,正常,261,3
2024-04-01 21:30:00,2024-04-01 21:32:00,3,调架中,False,正常,262,3
2024-04-01 21:33:00,2024-04-01 21:34:00,2,割煤中位,False,正常,263,3
2024-04-01 21:35:00,2024-04-01 21:35:00,1,调架中,False,正常,264,3
2024-04-01 21:36:00,2024-04-01 22:00:00,25,待机,False,正常,265,3
2024-04-01 22:01:00,2024-04-01 22:06:00,6,割煤中位,False,正常,266,3
2024-04-01 22:07:00,2024-04-01 22:08:00,2,割煤高位,False,正常,267,3
2024-04-01 22:09:00,2024-04-01 22:09:00,1,割煤中位,False,正常,268,3
2024-04-01 22:10:00,2024-04-01 22:10:00,1,割煤高位,False,正常,269,3
2024-04-01 22:11:00,2024-04-01 22:11:00,1,割煤中位,False,正常,270,3
2024-04-01 22:12:00,2024-04-01 22:12:00,1,割煤高位,False,正常,271,3
2024-04-01 22:13:00,2024-04-01 22:13:00,1,调架中,False,正常,272,3
2024-04-01 22:14:00,2024-04-01 22:14:00,1,割煤高位,False,正常,273,3
2024-04-01 22:15:00,2024-04-01 22:16:00,2,调架中,False,正常,274,3
2024-04-01 22:17:00,2024-04-01 22:18:00,2,割煤高位,False,正常,275,3
2024-04-01 22:19:00,2024-04-01 22:19:00,1,割煤中位,False,正常,276,3
2024-04-01 22:20:00,2024-04-01 22:20:00,1,调架中,False,正常,277,3
2024-04-01 22:21:00,2024-04-01 22:21:00,1,割煤中位,False,正常,278,3
2024-04-01 22:22:00,2024-04-01 22:22:00,1,割煤高位,False,正常,279,3
2024-04-01 22:23:00,2024-04-01 22:26:00,4,割煤中位,False,正常,280,3
2024-04-01 22:27:00,2024-04-01 22:29:00,3,待机,False,正常,281,3
2024-04-01 22:30:00,2024-04-01 22:30:00,1,调架中,False,正常,282,3
2024-04-01 22:31:00,2024-04-01 22:34:00,4,割煤中位,False,正常,283,3
2024-04-01 22:35:00,2024-04-01 22:35:00,1,调架中,False,正常,284,3
2024-04-01 22:36:00,2024-04-01 22:36:00,1,割煤中位,False,正常,285,3
2024-04-01 22:37:00,2024-04-01 22:37:00,1,调架中,False,正常,286,3
2024-04-01 22:38:00,2024-04-01 22:39:00,2,待机,False,正常,287,3
2024-04-01 22:40:00,2024-04-01 22:41:00,2,调架中,False,正常,288,3
2024-04-01 22:42:00,2024-04-01 22:45:00,4,割煤中位,False,正常,289,3
2024-04-01 22:46:00,2024-04-01 22:46:00,1,调架中,False,正常,290,3
2024-04-01 22:47:00,2024-04-01 22:47:00,1,割煤中位,False,正常,291,3
2024-04-01 22:48:00,2024-04-01 22:50:00,3,调架中,False,正常,292,3
2024-04-01 22:51:00,2024-04-01 22:54:00,4,割煤中位,False,正常,293,3
2024-04-01 22:55:00,2024-04-01 22:56:00,2,调架中,False,正常,294,3
2024-04-01 22:57:00,2024-04-01 22:57:00,1,割煤中位,False,正常,295,3
2024-04-01 22:58:00,2024-04-01 22:58:00,1,调架中,False,正常,296,3
2024-04-01 22:59:00,2024-04-01 23:06:00,8,割煤中位,False,正常,297,3
2024-04-01 23:07:00,2024-04-01 23:07:00,1,调架中,False,正常,298,3
2024-04-01 23:08:00,2024-04-01 23:10:00,3,割煤中位,False,正常,299,3
2024-04-01 23:11:00,2024-04-01 23:17:00,7,割煤高位,False,正常,300,3
2024-04-01 23:18:00,2024-04-01 23:23:00,6,割煤中位,False,正常,301,3
2024-04-01 23:24:00,2024-04-01 23:24:00,1,调架中,False,正常,302,3
2024-04-01 23:25:00,2024-04-01 23:25:00,1,待机-高位,False,正常,303,3
2024-04-01 23:26:00,2024-04-01 23:32:00,7,割煤中位,False,正常,304,3
2024-04-01 23:33:00,2024-04-01 23:33:00,1,待机,False,正常,305,3
2024-04-01 23:34:00,2024-04-01 23:36:00,3,割煤中位,False,正常,306,3
2024-04-01 23:37:00,2024-04-01 23:37:00,1,调架中,False,正常,307,3
2024-04-01 23:38:00,2024-04-01 23:43:00,6,割煤中位,False,正常,308,3
2024-04-01 23:44:00,2024-04-01 23:44:00,1,待机-高位,False,正常,309,3
2024-04-01 23:45:00,2024-04-01 23:45:00,1,调架中,False,正常,310,3
2024-04-01 23:46:00,2024-04-01 23:46:00,1,待机-高位,False,正常,311,3
2024-04-01 23:47:00,2024-04-01 23:48:00,2,割煤高位,False,正常,312,3
2024-04-01 23:49:00,2024-04-01 23:49:00,1,调架中,False,正常,313,3
2024-04-01 23:50:00,2024-04-01 23:52:00,3,割煤高位,False,正常,314,3
2024-04-01 23:53:00,2024-04-01 23:54:00,2,调架中,False,正常,315,3
2024-04-01 23:55:00,2024-04-01 23:58:00,4,割煤高位,False,正常,316,3
2024-04-01 23:59:00,2024-04-01 23:59:00,1,调架中,False,正常,317,3
2024-04-02 00:00:00,2024-04-02 00:00:00,1,割煤高位,False,正常,318,3
2024-04-02 00:01:00,2024-04-02 00:01:00,1,调架中,False,正常,319,3
2024-04-02 00:02:00,2024-04-02 00:03:00,2,割煤中位,False,正常,320,3
2024-04-02 00:04:00,2024-04-02 00:11:00,8,割煤高位,False,正常,321,3
2024-04-02 00:12:00,2024-04-02 00:13:00,2,割煤中位,False,正常,322,3
2024-04-02 00:14:00,2024-04-02 00:14:00,1,割煤高位,False,正常,323,3
2024-04-02 00:15:00,2024-04-02 00:15:00,1,调架中,False,正常,324,3
2024-04-02 00:16:00,2024-04-02 00:16:00,1,割煤中位,False,正常,325,3
2024-04-02 00:17:00,2024-04-02 00:18:00,2,割煤高位,False,正常,326,3
2024-04-02 00:19:00,2024-04-02 00:19:00,1,调架中,False,正常,327,3
2024-04-02 00:20:00,2024-04-02 00:23:00,4,割煤高位,False,正常,328,3
